INDIVIDUALS	STRATA
SORT-01	Kristineberg
SORT-02	Kristineberg
SORT-03	Kristineberg
SORT-04	Kristineberg
SORT-05	Kristineberg
SORT-06	Kristineberg
SORT-07	Kristineberg
SORT-08	Kristineberg
SORT-09	Kristineberg
SORT-10	Kristineberg
SORT-11	Austevoll
SORT-12	Austevoll
SORT-13	Austevoll
SORT-14	Austevoll
SORT-15	Austevoll
SORT-16	Austevoll
SORT-17	Austevoll
SORT-18	Austevoll
SORT-19	Austevoll
SORT-20	Austevoll
SORT-21	Helligvaer
SORT-22	Helligvaer
SORT-23	Helligvaer
SORT-24	Helligvaer
SORT-25	Helligvaer
SORT-26	Helligvaer
SORT-27	Helligvaer
SORT-28	Helligvaer
SORT-29	Helligvaer
SORT-30	Helligvaer
SORT-31	Hitra
SORT-32	Hitra
SORT-33	Hitra
SORT-34	Hitra
SORT-35	Hitra
SORT-36	Hitra
SORT-37	Hitra
SORT-38	Hitra
SORT-39	Hitra
SORT-40	Hitra
SORT-41	Arendal
SORT-42	Arendal
SORT-43	Arendal
SORT-44	Arendal
SORT-45	Arendal
SORT-46	Arendal
SORT-47	Arendal
SORT-48	Arendal
SORT-49	Arendal
SORT-50	Arendal
SORT-51	Ringstad
SORT-52	Ringstad
SORT-53	Ringstad
SORT-54	Ringstad
SORT-55	Ringstad
SORT-56	Ringstad
SORT-57	Ringstad
SORT-58	Ringstad
SORT-59	Ringstad
SORT-60	Ringstad
SORT-61	Austevoll
SORT-62	Austevoll
SORT-63	Austevoll
SORT-64	Austevoll
SORT-65	Austevoll
SORT-66	Austevoll
SORT-67	Austevoll
SORT-68	Austevoll
SORT-69	Austevoll
SORT-70	Austevoll
SORT-71	Hitra
SORT-72	Hitra
SORT-73	Hitra
SORT-74	Hitra
SORT-75	Hitra
SORT-76	Hitra
SORT-77	Hitra
SORT-78	Hitra
SORT-79	Hitra
SORT-81	Arendal
SORT-83	Arendal
SORT-84	Arendal
SORT-85	Arendal
SORT-86	Arendal
SORT-87	Arendal
SORT-88	Arendal
SORT-89	Arendal
SORT-90	Arendal
SORT-91	Kristineberg
SORT-92	Kristineberg
SORT-93	Kristineberg
SORT-94	Kristineberg
SORT-95	Kristineberg
SORT-96	Kristineberg
SORT-97	Kristineberg
SORT-98	Kristineberg
SORT-99	Kristineberg
SORT-100	Kristineberg
SORT-101	Helligvaer
SORT-102	Helligvaer
SORT-103	Helligvaer
SORT-104	Helligvaer
SORT-105	Helligvaer
SORT-106	Helligvaer
SORT-107	Helligvaer
SORT-108	Helligvaer
SORT-109	Helligvaer
SORT-110	Helligvaer
SORT-111	Ringstad
SORT-112	Ringstad
SORT-113	Ringstad
SORT-114	Ringstad
SORT-115	Ringstad
SORT-116	Ringstad
SORT-117	Ringstad
SORT-118	Ringstad
SORT-119	Ringstad
SORT-120	Ringstad
SORT-121	Arendal
SORT-122	Arendal
SORT-123	Arendal
SORT-124	Arendal
SORT-125	Arendal
SORT-126	Arendal
SORT-127	Arendal
SORT-128	Arendal
SORT-129	Arendal
SORT-130	Arendal
SORT-131	Austevoll
SORT-132	Austevoll
SORT-133	Austevoll
SORT-134	Austevoll
SORT-135	Austevoll
SORT-136	Austevoll
SORT-137	Austevoll
SORT-138	Austevoll
SORT-139	Austevoll
SORT-140	Austevoll
SORT-141	Hitra
SORT-142	Hitra
SORT-143	Hitra
SORT-144	Hitra
SORT-145	Hitra
SORT-146	Hitra
SORT-147	Hitra
SORT-148	Hitra
SORT-149	Hitra
SORT-150	Hitra
SORT-151	Ringstad
SORT-152	Ringstad
SORT-153	Ringstad
SORT-154	Ringstad
SORT-155	Ringstad
SORT-157	Ringstad
SORT-159	Ringstad
SORT-160	Ringstad
SORT-161	Kristineberg
SORT-162	Kristineberg
SORT-163	Kristineberg
SORT-166	Kristineberg
SORT-167	Kristineberg
SORT-168	Kristineberg
SORT-169	Kristineberg
SORT-170	Kristineberg
SORT-171	Helligvaer
SORT-172	Helligvaer
SORT-173	Helligvaer
SORT-174	Helligvaer
SORT-175	Helligvaer
SORT-176	Helligvaer
SORT-177	Helligvaer
SORT-178	Helligvaer
SORT-179	Helligvaer
SORT-180	Helligvaer
